image_name,grade
20170209143259326,0
007-3253-100,1
007-6141-300,2
007-3697-200,2
007-7323-601,0
20170401085943596,0
007-3185-100,1
20170427191042581,0
20170614092847535,2
20170222092538402,0
007-5963-300,3
20170429205502213,0
20170323085247057,0
20170125091735546,0
20170328164726799,0
20170609184224697,2
20170606104243761,2
007-1248-000,0
20170427095240398,0
20170615112054786,2
20170427100717384,0
20170608171337567,2
007-6471-400,4
20170408215830226,0
007-4104-200,2
007-1577-000,0
007-2149-100,2
20170524140637130,2
007-6657-400,4
007-1344-000,0
20170624195339158,2
20170626160504133,2
20170410091839449,0
20170227233252429,0
007-1196-000,0
20170427085812198,0
20170408225541513,0
20170626162845247,2
007-2953-100,1
007-3296-200,2
20170426133908898,0
007-6514-400,4
007-5150-300,2
007-5574-300,3
007-7239-400,4
007-5423-300,2
007-1240-000,0
20170430200959365,0
007-7256-400,4
20170429204645569,0
007-5690-300,2
007-5789-300,2
20170611092920726,2
20170323082725340,0
007-2448-100,2
007-1411-000,0
007-3866-200,2
007-1184-000,0
007-6341-400,4
007-0534-000,0
007-6840-400,4
20170413113710974,0
20170401171218039,0
20170408225549028,0
007-4595-200,2
20170330153330865,0
20170210092554204,0
007-4557-200,2
007-3438-200,2
007-1772-100,0
20170427184207246,0
007-1677-000,0
20170327110724437,0
007-1920-100,1
007-3135-100,2
20170418095345403,0
20170417165158242,0
20170427183428662,0
007-7178-400,4
20170427191341817,0
20170215094301874,0
007-0298-000,0
20170418082456632,0
20170326100843964,0
20170615160742027,2
007-2903-100,0
007-1854-100,2
007-6210-300,2
007-2497-100,1
20170410100312572,0
20170406104028411,0
007-3850-200,2
007-6520-400,4
20170410120121151,0
007-7267-400,4
20170621111316351,2
20170222153250976,0
007-3333-200,2
007-1632-000,0
007-2658-100,2
20170419090934589,0
007-0866-000,0
20170217102353762,0
007-5386-300,2
20170407231602454,0
20170429215147601,0
20170512224117149,2
007-4093-200,2
20170427185347767,0
007-7574-601,0
20170331094614184,0
007-0140-000,0
007-0802-000,0
007-4219-200,2
20170515125523780,2
20170627103352693,2
20170611110841815,2
20170401100837062,0
007-7211-400,4
007-1432-000,0
007-4410-200,2
20170612141756744,2
007-3370-200,2
007-4993-300,2
007-2723-100,1
20170427181844425,0
007-3010-100,2
007-6392-400,4
20170310144257966,0
20170429230100144,0
20170428144006815,0
007-1870-100,1
007-1286-000,0
007-2920-100,1
20170228000142217,0
007-3148-100,2
007-0535-000,0
20170203162800256,0
007-3592-200,2
20170409200246090,0
20170411103307026,0
20170327140304750,0
007-6897-400,4
007-2298-100,2
007-3274-100,2
007-3885-200,2
20170208175657652,0
20170329140458837,0
007-4417-200,2
20170215103258027,0
20170429231508234,0
20170227225502933,0
007-3609-200,2
007-3465-200,3
007-4865-300,2
20170216144456454,0
007-2949-100,2
20170227231328304,0
007-6005-300,2
007-1257-000,0
20170524083942475,2
007-6528-400,4
20170427182001923,0
007-2666-100,1
007-6663-400,4
20170527182337850,2
007-6568-400,4
